Символ,Частота,Код
'ми',0.013333,000000
'zx',0.013333,000001
'/й',0.013333,000010
'./',0.013333,000011
'ап',0.013333,000100
'см',0.013333,000101
'ва',0.013333,000110
'jk',0.013333,000111
'67',0.013333,001000
'зх',0.013333,001001
'щз',0.013333,001010
'fg',0.013333,001011
'kl',0.013333,001100
'89',0.013333,001101
'gh',0.013333,001110
'er',0.013333,001111
'ит',0.013333,010000
'пр',0.013333,010001
'ро',0.013333,010010
'xc',0.013333,010011
'vb',0.013333,010100
'бю',0.013333,010101
'rt',0.013333,010110
'yu',0.013333,010111
'ui',0.013333,011000
'чс',0.013333,011001
'ук',0.013333,011010
'as',0.013333,011011
'нг',0.013333,011100
'ен',0.013333,011101
'эя',0.013333,011110
"""'\\""",0.013333,011111
'df',0.013333,100000
'we',0.013333,100001
'\\z',0.013333,100010
'яч',0.013333,100011
'bn',0.013333,100100
'op',0.013333,100101
'90',0.013333,100110
'45',0.013333,100111
'ыв',0.013333,101000
'жэ',0.013333,101001
'cv',0.013333,101010
'ть',0.013333,101011
'23',0.013333,101100
'цу',0.013333,101101
'йц',0.013333,101110
']a',0.013333,101111
'шщ',0.013333,110000
'гш',0.013333,110001
"',.'",0.013333,110010
"'m,'",0.013333,110011
'дж',0.013333,110100
'ол',0.013333,1101010
'l;',0.013333,1101011
'34',0.013333,1101100
'12',0.013333,1101101
""";'""",0.013333,1101110
'фы',0.013333,1101111
'[]',0.013333,1110000
'0q',0.013333,1110001
'io',0.013333,1110010
'ьб',0.013333,1110011
'p[',0.013333,1110100
'nm',0.013333,1110101
'qw',0.013333,1110110
'56',0.013333,1110111
'hj',0.013333,1111000
'лд',0.013333,1111001
'ъф',0.013333,1111010
'хъ',0.013333,1111011
'ty',0.013333,1111100
'78',0.013333,1111101
'sd',0.013333,1111110
'ке',0.013333,1111111
