Символ,Частота,Код
'ы',0.013158,000000
'y',0.013158,000001
'т',0.013158,000010
'м',0.013158,000011
'а',0.013158,000100
'8',0.013158,000101
'в',0.013158,000110
'j',0.013158,000111
'с',0.013158,001000
'\\',0.013158,001001
'k',0.013158,001010
'и',0.013158,001011
'f',0.013158,001100
'ш',0.013158,001101
'е',0.013158,001110
's',0.013158,001111
'h',0.013158,010000
';',0.013158,010001
'ъ',0.013158,010010
'л',0.013158,010011
'ц',0.013158,010100
'й',0.013158,010101
'r',0.013158,010110
'я',0.013158,010111
'ч',0.013158,011000
'э',0.013158,011001
'х',0.013158,011010
'g',0.013158,011011
'5',0.013158,011100
'2',0.013158,011101
"""'""",0.013158,011110
'д',0.013158,011111
'n',0.013158,100000
'b',0.013158,100001
'4',0.013158,100010
'ю',0.013158,100011
'a',0.013158,100100
'q',0.013158,100101
'z',0.013158,100110
'u',0.013158,100111
'б',0.013158,101000
'c',0.013158,101001
'.',0.013158,101010
'[',0.013158,101011
'з',0.013158,101100
'щ',0.013158,101101
'г',0.013158,101110
'd',0.013158,101111
']',0.013158,110000
'/',0.013158,110001
'0',0.013158,110010
"','",0.013158,110011
'о',0.013158,1101000
'l',0.013158,1101001
'3',0.013158,1101010
'1',0.013158,1101011
't',0.013158,1101100
'7',0.013158,1101101
'w',0.013158,1101110
'н',0.013158,1101111
'o',0.013158,1110000
'9',0.013158,1110001
'v',0.013158,1110010
'i',0.013158,1110011
'e',0.013158,1110100
'6',0.013158,1110101
'm',0.013158,1110110
'p',0.013158,1110111
'x',0.013158,1111000
'п',0.013158,1111001
'р',0.013158,1111010
'ь',0.013158,1111011
'к',0.013158,1111100
'у',0.013158,1111101
'ж',0.013158,1111110
'ф',0.013158,1111111
