Символ,Частота,Код
"', '",0.020486,000000
'о ',0.014382,000001
' с',0.013698,000010
'  ',0.013523,000011
'и ',0.012785,000100
' в',0.012347,000101
'то',0.012338,000110
' п',0.011515,0001110
'а ',0.011185,0001111
'ст',0.011105,001000
'е ',0.011060,0010010
' н',0.011031,0010011
' и',0.009838,001010
' о',0.008885,0010110
'. ',0.008430,0010111
'на',0.007975,0011000
' к',0.007303,0011001
'го',0.007270,0011010
'ал',0.007077,0011011
'не',0.007061,0011100
'но',0.007001,0011101
'ра',0.006975,0011110
'по',0.006858,00111110
'ко',0.006799,00111111
'ов',0.006748,0100000
'я ',0.006710,0100001
'ка',0.006592,0100010
'\n ',0.006492,01000110
'ни',0.006441,01000111
'ен',0.006420,0100100
'ро',0.006128,0100101
'во',0.006095,0100110
'ос',0.005923,01001110
'ь ',0.005911,01001111
'ол',0.005657,0101000
'в ',0.005580,01010010
'ер',0.005563,01010011
'ла',0.005552,0101010
' т',0.005418,01010110
'от',0.005387,01010111
' д',0.005375,0101100
'- ',0.005289,01011010
' -',0.005286,01011011
'ор',0.005234,0101110
'ло',0.005151,01011110
'ли',0.005144,01011111
' б',0.005127,0110000
'л ',0.005098,01100010
'ре',0.005034,01100011
'пр',0.004996,0110010
'ел',0.004961,01100110
'он',0.004712,01100111
'.\n',0.004689,0110100
'ва',0.004601,01101010
'й ',0.004566,01101011
' г',0.004472,01101100
'та',0.004472,01101101
'м ',0.004447,01101110
'ть',0.004392,01101111
'ри',0.004286,01110000
' ч',0.004225,01110001
'ск',0.004193,01110010
'за',0.004153,01110011
'ом',0.004148,01110100
'тр',0.004123,01110101
'ат',0.003980,01110110
'ог',0.003933,01110111
'од',0.003832,01111000
'ес',0.003821,01111001
'ил',0.003757,01111010
' м',0.003672,01111011
'те',0.003610,01111100
'ле',0.003579,01111101
'ве',0.003516,01111110
'де',0.003499,01111111
'ан',0.003485,10000000
'ак',0.003368,10000001
'да',0.003338,10000010
'аз',0.003253,100000110
'ем',0.003249,100000111
'к ',0.003244,10000100
'у ',0.003168,10000101
' е',0.003155,10000110
'бы',0.003147,100001110
'ет',0.003099,100001111
'ме',0.003088,10001000
'ль',0.003045,10001001
'же',0.003036,10001010
' з',0.003028,100010110
'ас',0.002942,100010111
' р',0.002941,10001100
' у',0.002901,10001101
'до',0.002864,10001110
'ти',0.002861,100011110
'ав',0.002859,100011111
'ой',0.002822,10010000
'чт',0.002804,100100010
'т ',0.002796,100100011
'ег',0.002754,10010010
'н ',0.002722,100100110
'об',0.002709,100100111
'ны',0.002703,10010100
